Seconds,Battery Voltage,Pitch Rate,Roll Rate,Yaw Rate,Pitch Angle,Roll Angle,G-Force,Input Throttle,Input Pitch,Input Roll,Input Yaw,M1 Throttle,M2 Throttle,M3 Throttle,M4 Throttle,Cmd Last Received ms
9.063,16.4,0,0,0,3,-4,1.0,0,0,0,0,0,0,0,0,0
9.336,16.4,0,0,0,3,-4,1.0,0,0,0,0,0,0,0,0,0
9.605,16.3,-1,-1,-1,3,-4,1.0,0,0,0,0,0,0,0,0,270
9.875,16.3,-1,0,-1,3,-4,1.0,0,0,0,0,0,0,0,0,0
10.144,16.3,0,-1,-1,3,-4,1.0,0,0,0,0,0,0,0,0,270
10.416,16.3,-1,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,0
10.667,16.3,-1,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,10
10.919,16.3,-1,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,60
11.17,16.3,-1,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,30
11.422,16.4,0,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,40
11.673,16.3,0,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,30
11.924,16.3,-1,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,30
12.176,16.3,0,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,60
12.427,16.3,0,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,20
12.679,16.4,-1,0,0,3,-4,1.0,8,0,0,0,8,8,8,8,50
12.93,16.4,-1,0,-1,3,-4,1.0,23,0,0,0,23,23,23,23,20
13.183,16.4,-1,-1,0,3,-4,1.0,13,0,0,0,13,13,13,13,0
13.433,16.3,-1,-1,-1,3,-4,1.0,8,0,0,0,8,8,8,8,30
13.685,16.3,0,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,50
13.936,16.3,0,0,0,3,-4,1.0,8,0,0,0,8,8,8,8,20
14.188,16.3,-1,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,10
14.439,16.3,-1,-1,-1,3,-4,1.0,8,0,0,0,8,8,8,8,50
14.691,16.3,0,0,0,3,-4,1.0,8,0,0,0,8,8,8,8,40
14.942,16.3,0,0,0,3,-4,1.0,8,0,0,0,8,8,8,8,30
15.194,16.4,-1,-1,0,3,-4,1.0,8,0,0,0,8,8,8,8,10
15.445,16.3,0,-1,-1,3,-4,1.0,8,0,0,0,8,8,8,8,10
15.697,16.4,-1,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,50
15.948,16.3,0,0,-1,3,-4,1.0,8,0,0,0,8,8,8,8,30
16.199,16.3,-1,-1,-1,3,-4,1.0,8,0,0,0,8,8,8,8,10
16.451,16.3,-8,-15,3,3,0,1.0,8,0,0,0,8,8,8,8,10
16.702,16.3,28,16,-18,3,-1,1.0,8,0,0,0,8,8,8,8,40
16.954,16.3,16,3,1,2,2,0.8,8,0,0,0,8,8,8,8,10
17.205,16.3,-4,-24,-1,3,-1,1.0,8,0,0,0,8,8,8,8,30
17.457,16.3,0,1,0,3,-3,1.0,8,0,0,0,8,8,8,8,10
17.708,16.3,0,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
17.96,16.3,-3,17,3,3,-2,1.0,8,0,0,0,8,8,8,8,20
18.211,16.3,10,69,2,3,4,0.9,8,0,0,0,8,8,8,8,40
18.463,16.3,-3,-69,-5,3,6,1.1,8,0,0,0,8,8,8,8,30
18.714,16.4,-5,19,-1,2,4,1.0,8,0,0,0,8,8,8,8,30
18.966,16.3,-8,54,1,2,5,1.1,8,0,0,0,8,8,8,8,10
19.217,16.3,-35,88,-14,1,3,1.3,8,0,0,0,8,8,8,8,50
19.469,16.3,-19,-66,-4,3,1,1.3,8,0,0,0,8,8,8,8,40
19.72,16.4,-18,-58,-1,3,3,1.2,8,0,0,0,8,8,8,8,30
19.971,16.4,-9,-77,23,4,5,1.0,8,0,0,0,8,8,8,8,10
20.223,16.3,0,-5,-1,3,-3,1.0,8,0,0,0,8,8,8,8,30
20.474,16.3,0,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
20.726,16.4,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,10
20.977,16.3,0,-1,0,3,-2,1.0,8,0,0,0,8,8,8,8,10
21.229,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,50
21.48,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
21.732,16.3,0,-1,0,3,-2,1.0,8,0,0,0,8,8,8,8,30
21.983,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,50
22.235,16.4,0,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
22.486,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
22.738,16.3,-1,0,0,3,-2,1.0,8,0,0,0,8,8,8,8,10
22.99,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,0
23.241,16.3,0,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,50
23.492,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,30
23.744,16.3,-1,-1,0,3,-2,1.0,8,0,0,0,8,8,8,8,20
23.996,16.4,0,-1,0,3,-2,1.0,12,0,0,0,12,12,12,12,0
24.251,16.3,-1,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,40
24.502,16.4,-1,-1,0,3,-2,1.0,25,0,0,0,25,25,25,25,20
24.754,16.3,0,-1,-1,3,-2,1.0,8,0,0,0,8,8,8,8,10
25.005,16.3,-1,0,-1,3,-2,1.0,8,0,0,0,8,8,8,8,10
